I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-63,-39,24,51,-43,-7,-39,-14,-73,-82,-73,-48
-63,-29,34,46,-48,2,-39,-24,-78,-73,-82,-53
-58,-29,29,43,-43,0,-39,-24,-78,-73,-82,-53
-58,-34,24,46,-41,-4,-39,-24,-78,-73,-82,-53
-63,-34,29,48,-46,-2,-39,-24,-78,-73,-82,-58
-53,-43,9,48,-31,-17,-39,-24,-78,-73,-73,-58
-53,-43,9,48,-31,-17,-39,-24,-78,-73,-73,-53
-53,-43,9,48,-31,-17,-39,-24,-78,-73,-73,-53
-53,-43,9,48,-31,-17,-39,-24,-78,-73,-73,-53
-63,-39,24,51,-43,-7,-39,-14,-78,-82,-82,-63
-63,-39,24,51,-43,-7,-39,-14,-78,-82,-82,-63
-63,-43,19,53,-41,-12,-39,-19,-78,-82,-82,-68
-68,-43,24,56,-46,-9,-39,-19,-78,-82,-87,-68
-68,-24,43,46,-56,9,-48,-29,-78,-82,-87,-78
-68,-19,48,43,-58,14,-48,-29,-78,-82,-87,-78
-78,-19,58,48,-68,19,-48,-29,-78,-82,-92,-78
-78,-19,58,48,-68,19,-48,-29,-78,-78,-92,-78
-82,-34,48,58,-65,7,-39,-19,-78,-78,-82,-73
-82,-39,43,61,-63,2,-39,-19,-78,-82,-82,-68
-82,-39,43,61,-63,2,-39,-19,-78,-82,-82,-63
-78,-43,34,61,-56,-4,-39,-19,-78,-82,-82,-58
-73,-34,39,53,-56,2,-29,-19,-73,-78,-82,-63
-82,-48,34,65,-58,-7,-29,-14,-73,-73,-73,-53
-58,-48,9,53,-34,-19,-39,-19,-68,-78,-68,-48
-48,-43,4,46,-26,-19,-43,-29,-78,-87,-78,-53
-48,-39,9,43,-29,-14,-48,-29,-78,-87,-78,-58
-48,-34,14,41,-31,-9,-53,-29,-78,-87,-78,-63
-48,-29,19,39,-34,-4,-58,-29,-78,-87,-78,-68
-53,-19,34,36,-43,7,-48,-29,-78,-87,-87,-78
-58,-19,39,39,-48,9,-48,-29,-78,-87,-87,-78
-63,-19,43,41,-53,12,-48,-29,-78,-87,-87,-78
-68,-19,48,43,-58,14,-48,-29,-78,-87,-87,-78
-68,-24,43,46,-56,9,-39,-29,-68,-78,-87,-68
-68,-29,39,48,-53,4,-39,-29,-68,-78,-87,-68
-68,-34,34,51,-51,0,-39,-29,-68,-78,-87,-68
-68,-39,29,53,-48,-4,-39,-29,-68,-78,-87,-68
-68,-43,24,56,-46,-9,-29,-24,-68,-68,-82,-58
-68,-48,19,58,-43,-14,-29,-19,-68,-68,-78,-58
-68,-53,14,61,-41,-19,-29,-14,-68,-68,-73,-58
-68,-58,9,63,-39,-24,-29,-9,-68,-68,-68,-58
-68,-48,19,58,-43,-14,-29,-14,-78,-78,-73,-63
-68,-48,19,58,-43,-14,-29,-19,-78,-78,-78,-68
-68,-48,19,58,-43,-14,-29,-24,-78,-78,-82,-73
-68,-48,19,58,-43,-14,-29,-29,-78,-78,-87,-78
-68,-43,24,56,-46,-9,-29,-39,-78,-78,-87,-78
-68,-39,29,53,-48,-4,-29,-39,-78,-78,-87,-78
-68,-34,34,51,-51,0,-29,-39,-78,-78,-87,-78
-68,-29,39,48,-53,4,-29,-39,-78,-78,-87,-78
-78,-29,48,53,-63,9,-39,-29,-78,-78,-87,-68
-78,-29,48,53,-63,9,-39,-29,-78,-78,-87,-68
-78,-29,48,53,-63,9,-39,-29,-78,-78,-87,-68
-78,-29,48,53,-63,9,-39,-29,-78,-78,-87,-68
-87,-43,43,65,-65,0,-29,-19,-68,-68,-78,-63
-87,-48,39,68,-63,-4,-29,-19,-68,-68,-78,-58
-87,-53,34,70,-61,-9,-29,-19,-68,-68,-78,-53
-87,-58,29,73,-58,-14,-29,-19,-68,-68,-78,-48
-87,-58,29,73,-58,-14,-29,-19,-68,-68,-68,-48
-87,-58,29,73,-58,-14,-29,-19,-68,-68,-68,-48
-87,-58,29,73,-58,-14,-29,-19,-68,-68,-68,-48
-87,-58,29,73,-58,-14,-29,-19,-68,-68,-68,-48
-78,-48,29,63,-53,-9,-39,-29,-78,-78,-73,-53
-78,-48,29,63,-53,-9,-39,-29,-78,-78,-78,-58
-78,-48,29,63,-53,-9,-39,-29,-78,-78,-82,-63
-78,-48,29,63,-53,-9,-39,-29,-78,-78,-87,-68
-87,-48,39,68,-63,-4,-29,-19,-78,-78,-87,-78
-87,-48,39,68,-63,-4,-29,-19,-78,-78,-87,-78
-87,-48,39,68,-63,-4,-29,-19,-78,-78,-87,-78
-87,-48,39,68,-63,-4,-29,-19,-78,-78,-87,-78
-82,-43,39,63,-61,-2,-34,-29,-78,-87,-87,-78
-78,-39,39,58,-58,0,-39,-29,-78,-87,-87,-78
-73,-34,39,53,-56,2,-43,-29,-78,-87,-87,-78
-68,-29,39,48,-53,4,-48,-29,-78,-87,-87,-78
-78,-34,43,56,-61,4,-43,-19,-78,-78,-78,-73
-78,-39,39,58,-58,0,-39,-19,-78,-78,-78,-68
-78,-43,34,61,-56,-4,-34,-19,-78,-78,-78,-63
-78,-48,29,63,-53,-9,-29,-19,-78,-78,-78,-58
-78,-48,29,63,-53,-9,-39,-19,-68,-68,-87,-68
-78,-48,29,63,-53,-9,-39,-19,-68,-68,-87,-68
-78,-48,29,63,-53,-9,-39,-19,-68,-68,-87,-68
-78,-48,29,63,-53,-9,-39,-19,-68,-68,-87,-68
-68,-34,34,51,-51,0,-48,-29,-78,-78,-97,-78
-68,-29,39,48,-53,4,-48,-29,-78,-78,-97,-78
-68,-24,43,46,-56,9,-48,-29,-78,-78,-97,-78
-68,-19,48,43,-58,14,-48,-29,-78,-78,-97,-78
-68,-34,34,51,-51,0,-39,-24,-68,-68,-92,-68
-68,-39,29,53,-48,-4,-39,-19,-68,-68,-87,-68
-68,-43,24,56,-46,-9,-39,-14,-68,-68,-82,-68
-68,-48,19,58,-43,-14,-39,-9,-68,-68,-78,-68
-78,-48,29,63,-53,-9,-43,-14,-73,-78,-82,-78
-78,-48,29,63,-53,-9,-48,-19,-78,-78,-87,-78
-78,-48,29,63,-53,-9,-53,-24,-82,-78,-92,-78
-78,-48,29,63,-53,-9,-58,-29,-87,-78,-97,-78
-78,-48,29,63,-53,-9,-53,-19,-82,-78,-87,-68
-78,-48,29,63,-53,-9,-48,-19,-78,-78,-87,-68
-78,-48,29,63,-53,-9,-43,-19,-73,-78,-87,-68
-78,-48,29,63,-53,-9,-39,-19,-68,-78,-87,-68
-87,-39,48,63,-68,4,-39,-29,-68,-78,-87,-58
-87,-39,48,63,-68,4,-39,-29,-68,-78,-87,-58
-87,-39,48,63,-68,4,-39,-29,-68,-78,-87,-58
-87,-39,48,63,-68,4,-39,-29,-68,-78,-87,-58
-82,-29,53,56,-68,12,-48,-29,-68,-78,-87,-68
-78,-29,48,53,-63,9,-48,-29,-68,-78,-87,-68
-73,-29,43,51,-58,7,-48,-29,-68,-78,-87,-68
-68,-29,39,48,-53,4,-48,-29,-68,-78,-87,-68
-68,-39,29,53,-48,-4,-39,-19,-68,-78,-87,-78
-68,-39,29,53,-48,-4,-39,-19,-68,-78,-87,-78
-68,-39,29,53,-48,-4,-39,-19,-68,-78,-87,-78
-68,-39,29,53,-48,-4,-39,-19,-68,-78,-87,-78
-78,-39,39,58,-58,0,-39,-29,-78,-78,-97,-78
-78,-39,39,58,-58,0,-39,-29,-78,-78,-97,-78
-78,-39,39,58,-58,0,-39,-29,-78,-78,-97,-78
-78,-39,39,58,-58,0,-39,-29,-78,-78,-97,-78
-82,-48,34,65,-58,-7,-39,-29,-78,-78,-87,-68
-87,-48,39,68,-63,-4,-39,-29,-78,-78,-87,-68
-92,-48,43,70,-68,-2,-39,-29,-78,-78,-87,-68
-97,-48,48,73,-73,0,-39,-29,-78,-78,-87,-68
-92,-43,48,68,-70,2,-29,-19,-78,-78,-87,-68
-87,-39,48,63,-68,4,-29,-19,-78,-78,-87,-68
-82,-34,48,58,-65,7,-29,-19,-78,-78,-87,-68
-78,-29,48,53,-63,9,-29,-19,-78,-78,-87,-68
-68,-29,39,48,-53,4,-34,-29,-68,-68,-87,-68
-68,-29,39,48,-53,4,-39,-29,-68,-68,-87,-68
-68,-29,39,48,-53,4,-43,-29,-68,-68,-87,-68
-68,-29,39,48,-53,4,-48,-29,-68,-68,-87,-68
-73,-39,34,56,-53,-2,-48,-19,-78,-78,-87,-68
-78,-48,29,63,-53,-9,-48,-19,-78,-78,-87,-68
-82,-58,24,70,-53,-17,-48,-19,-78,-78,-87,-68
-87,-68,19,78,-53,-24,-48,-19,-78,-78,-87,-68
-87,-68,19,78,-53,-24,-48,-29,-78,-78,-97,-78
-87,-68,19,78,-53,-24,-48,-29,-78,-78,-97,-78
-87,-68,19,78,-53,-24,-48,-29,-78,-78,-97,-78
-87,-68,19,78,-53,-24,-48,-29,-78,-78,-97,-78
-82,-58,24,70,-53,-17,-39,-39,-78,-87,-97,-78
-78,-48,29,63,-53,-9,-39,-39,-78,-87,-97,-78
-73,-39,34,56,-53,-2,-39,-39,-78,-87,-97,-78
-68,-29,39,48,-53,4,-39,-39,-78,-87,-97,-78
-73,-43,29,58,-51,-7,-48,-29,-68,-78,-97,-68
-78,-48,29,63,-53,-9,-48,-29,-68,-78,-97,-68
-82,-53,29,68,-56,-12,-48,-29,-68,-78,-97,-68
-87,-58,29,73,-58,-14,-48,-29,-68,-78,-97,-68
-78,-48,29,63,-53,-9,-39,-39,-78,-78,-97,-78
-78,-48,29,63,-53,-9,-39,-39,-78,-78,-97,-78
-78,-48,29,63,-53,-9,-39,-39,-78,-78,-97,-78
-78,-48,29,63,-53,-9,-39,-39,-78,-78,-97,-78
-68,-48,19,58,-43,-14,-39,-29,-78,-78,-97,-78
-68,-48,19,58,-43,-14,-39,-29,-78,-78,-97,-78
-68,-48,19,58,-43,-14,-39,-29,-78,-78,-97,-78
-68,-48,19,58,-43,-14,-39,-29,-78,-78,-97,-78
-78,-48,29,63,-53,-9,-39,-29,-78,-78,-87,-78
-78,-48,29,63,-53,-9,-39,-29,-78,-78,-87,-78
-78,-48,29,63,-53,-9,-39,-29,-78,-78,-87,-78
-78,-48,29,63,-53,-9,-39,-29,-78,-78,-87,-78
-78,-58,19,68,-48,-19,-48,-29,-78,-78,-87,-68
-78,-58,19,68,-48,-19,-48,-29,-78,-78,-87,-68
-78,-58,19,68,-48,-19,-48,-29,-78,-78,-87,-68
-78,-58,19,68,-48,-19,-48,-29,-78,-78,-87,-68
-78,-48,29,63,-53,-9,-39,-29,-78,-78,-97,-78
-78,-48,29,63,-53,-9,-39,-29,-78,-78,-97,-78
-78,-48,29,63,-53,-9,-39,-29,-78,-78,-97,-78
-78,-48,29,63,-53,-9,-39,-29,-78,-78,-97,-78
-87,-39,48,63,-68,4,-48,-39,-87,-87,-107,-87
-87,-39,48,63,-68,4,-48,-39,-87,-87,-107,-87
-87,-39,48,63,-68,4,-48,-39,-87,-87,-107,-87
-87,-39,48,63,-68,4,-48,-39,-87,-87,-107,-87
-78,-48,29,63,-53,-9,-48,-34,-82,-82,-92,-73
-78,-48,29,63,-53,-9,-48,-29,-78,-78,-87,-68
-78,-48,29,63,-53,-9,-48,-24,-73,-73,-82,-63
-78,-48,29,63,-53,-9,-48,-19,-68,-68,-78,-58
-68,-58,9,63,-39,-24,-48,-29,-78,-78,-87,-68
-82,-58,24,70,-53,-17,-48,-29,-78,-78,-87,-68
-82,-53,29,68,-56,-12,-48,-29,-78,-78,-92,-68
-78,-53,24,65,-51,-14,-48,-29,-78,-78,-92,-68
-87,-43,43,65,-65,0,-48,-29,-78,-87,-102,-78
-87,-48,39,68,-63,-4,-48,-29,-78,-87,-102,-78
-82,-48,34,65,-58,-7,-48,-29,-78,-87,-102,-78
-82,-43,39,63,-61,-2,-48,-29,-78,-87,-102,-78
-82,-48,34,65,-58,-7,-39,-29,-78,-87,-92,-78
-87,-53,34,70,-61,-9,-39,-29,-78,-82,-87,-73
-87,-58,29,73,-58,-14,-39,-29,-78,-82,-87,-73
-97,-63,34,80,-65,-14,-39,-29,-78,-82,-87,-73
-102,-78,24,90,-63,-26,-48,-19,-78,-73,-87,-73
-102,-78,24,90,-63,-26,-48,-19,-78,-73,-87,-73
-107,-73,34,90,-70,-19,-48,-19,-78,-82,-87,-78
-112,-73,39,92,-75,-17,-48,-19,-78,-82,-87,-78
-97,-68,29,82,-63,-19,-48,-29,-78,-82,-97,-78
-87,-63,24,75,-56,-19,-48,-29,-78,-82,-97,-78
-78,-58,19,68,-48,-19,-48,-29,-78,-82,-97,-78
-73,-53,19,63,-46,-17,-48,-29,-78,-82,-102,-78
-78,-48,29,63,-53,-9,-48,-29,-82,-82,-102,-73
-78,-48,29,63,-53,-9,-48,-29,-82,-82,-102,-73
-78,-43,34,61,-56,-4,-48,-29,-82,-82,-102,-73
-78,-43,34,61,-56,-4,-48,-29,-82,-82,-102,-73
-78,-53,24,65,-51,-14,-39,-29,-73,-82,-102,-73
-78,-53,24,65,-51,-14,-39,-29,-78,-82,-102,-78
-78,-53,24,65,-51,-14,-39,-29,-78,-82,-102,-78
-78,-53,24,65,-51,-14,-39,-29,-78,-78,-97,-78
-78,-39,39,58,-58,0,-48,-19,-73,-78,-87,-73
-68,-34,34,51,-51,0,-48,-19,-73,-78,-87,-73
-68,-34,34,51,-51,0,-48,-19,-73,-78,-87,-73
-73,-34,39,53,-56,2,-48,-19,-68,-73,-87,-68
-73,-24,48,48,-61,12,-53,-24,-63,-73,-87,-68
-68,0,68,34,-68,34,-53,-24,-58,-73,-82,-68
-63,14,78,24,-70,46,-53,-14,-53,-63,-82,-68
-63,19,82,21,-73,51,-48,-9,-48,-63,-73,-63
-63,9,73,26,-68,41,-39,4,-34,-53,-58,-58
-63,14,78,24,-70,46,-39,4,-29,-48,-58,-48
-58,24,82,17,-70,53,-39,4,-24,-34,-58,-43
-58,24,82,17,-70,53,-39,14,-14,-29,-58,-34
-68,24,92,21,-80,58,-29,4,-19,-39,-53,-34
-68,24,92,21,-80,58,-29,4,-19,-39,-53,-34
-68,29,97,19,-82,63,-29,4,-19,-34,-53,-34
-68,34,102,17,-85,68,-39,0,-19,-34,-53,-29
-58,43,102,7,-80,73,-39,-9,-19,-24,-58,-34
-58,48,107,4,-82,78,-43,-9,-14,-24,-48,-24
-48,53,102,-2,-75,78,-53,-14,-14,-24,-48,-24
-48,58,107,-4,-78,82,-58,-24,-14,-24,-53,-24
-58,73,131,-7,-95,102,-87,-34,-29,-34,-53,-34
-58,82,141,-12,-100,112,-97,-43,-29,-34,-53,-34
-48,82,131,-17,-90,107,-122,-48,-29,-34,-43,-29
-43,87,131,-21,-87,109,-126,-53,-29,-34,-43,-24
-39,82,122,-21,-80,102,-117,-53,-29,-39,-43,-14
-34,73,107,-19,-70,90,-122,-68,-43,-39,-48,-14
-29,63,92,-17,-61,78,-131,-73,-53,-43,-48,-14
-29,53,82,-12,-56,68,-131,-82,-58,-53,-48,-14
-34,48,82,-7,-58,65,-131,-78,-68,-48,-58,-29
-39,43,82,-2,-61,63,-136,-82,-82,-58,-68,-34
-39,39,78,0,-58,58,-141,-92,-92,-63,-68,-34
-24,29,53,-2,-39,41,-151,-97,-97,-68,-73,-34
-24,34,58,-4,-41,46,-165,-112,-107,-82,-78,-39
-19,34,53,-7,-36,43,-165,-112,-107,-87,-78,-39
-14,43,58,-14,-36,51,-165,-112,-107,-87,-78,-34
-9,43,53,-17,-31,48,-165,-107,-107,-78,-68,-29
0,39,39,-19,-19,39,-146,-87,-87,-63,-48,-19
-14,39,53,-12,-34,46,-131,-82,-82,-58,-48,-9
-19,39,58,-9,-39,48,-122,-73,-82,-53,-48,-4
-24,39,63,-7,-43,51,-112,-73,-78,-53,-48,0
-34,34,68,0,-51,51,-92,-68,-87,-53,-58,-14
-43,19,63,12,-53,41,-92,-68,-87,-58,-63,-14
-48,14,63,17,-56,39,-87,-63,-87,-58,-63,-29
-48,9,58,19,-53,34,-78,-53,-87,-58,-63,-29
-48,4,53,21,-51,29,-78,-53,-78,-68,-68,-39
-58,-14,43,36,-51,14,-73,-53,-78,-73,-73,-39
-58,-24,34,41,-46,4,-73,-58,-82,-82,-82,-48
-58,-29,29,43,-43,0,-73,-58,-97,-97,-92,-63
-58,-39,19,48,-39,-9,-82,-58,-107,-97,-97,-63
-68,-48,19,58,-43,-14,-73,-53,-107,-102,-102,-68
-82,-53,29,68,-56,-12,-68,-48,-107,-102,-107,-82
-87,-53,34,70,-61,-9,-63,-39,-102,-92,-107,-82
-92,-68,24,80,-58,-21,-48,-34,-92,-92,-102,-87
-92,-92,0,92,-46,-46,-39,-29,-92,-97,-112,-92
-87,-97,-9,92,-39,-53,-19,-9,-78,-102,-126,-107
-107,-87,19,97,-63,-34,9,24,-68,-112,-146,-126
-136,-107,29,122,-82,-39,39,58,-48,-112,-175,-170
-141,-107,34,124,-87,-36,58,102,-19,-122,-209,-209
-141,-58,82,100,-112,12,82,136,19,-107,-224,-234
-156,-24,131,90,-143,53,97,165,63,-87,-214,-224
-156,-9,146,82,-151,68,107,204,107,-34,-170,-185
-136,-9,126,73,-131,58,107,234,161,34,-87,-117
-97,0,97,48,-97,48,107,278,219,126,14,-34
-39,0,39,19,-39,19,92,307,273,214,117,58
48,19,-29,-34,39,-4,34,297,302,297,234,170
146,58,-87,-102,117,-14,-34,283,331,395,400,322
244,112,-131,-178,187,-9,-102,239,395,541,590,517
331,200,-131,-265,231,34,-190,165,463,702,814,736
444,273,-170,-358,307,51,-278,97,512,863,1044,956
561,336,-224,-448,392,56,-361,34,527,1005,1273,1161
678,419,-258,-549,468,80,-463,-63,527,1127,1478,1351
790,502,-287,-646,539,107,-575,-180,517,1273,1693,1542
897,492,-405,-695,651,43,-658,-302,448,1346,1859,1693
961,385,-575,-673,768,-95,-717,-409,331,1361,1932,1761
1000,307,-692,-653,846,-192,-717,-483,268,1385,1991,1790
1015,278,-736,-646,875,-229,-697,-546,244,1420,2034,1805
941,248,-692,-595,817,-222,-692,-658,151,1337,1961,1747
761,234,-527,-497,644,-146,-653,-775,43,1180,1786,1605
522,234,-287,-378,405,-26,-561,-824,-9,1019,1527,1381
336,195,-141,-265,239,26,-473,-844,-87,810,1210,1112
219,107,-112,-163,165,-2,-424,-863,-204,546,863,824
87,24,-63,-56,75,-19,-346,-829,-312,268,502,517
-58,-63,-4,61,-26,-34,-244,-766,-409,-14,141,209
-165,-126,39,146,-102,-43,-175,-702,-478,-244,-141,-4
-204,-146,58,175,-131,-43,-146,-663,-512,-351,-268,-112
-185,-146,39,165,-112,-53,-126,-605,-488,-370,-283,-141
-156,-146,9,151,-82,-68,-117,-512,-439,-336,-248,-131
-151,-141,9,146,-80,-65,-102,-419,-375,-268,-195,-102
-141,-136,4,139,-73,-65,-78,-341,-312,-204,-151,-82
-131,-131,0,131,-65,-65,-58,-268,-244,-141,-107,-63
-117,-122,-4,119,-56,-63,-53,-209,-185,-97,-87,-58
-102,-87,14,95,-58,-36,-63,-185,-151,-82,-73,-48
-92,-73,19,82,-56,-26,-68,-170,-136,-73,-73,-48
-87,-73,14,80,-51,-29,-78,-141,-126,-68,-78,-43
-78,-68,9,73,-43,-29,-68,-122,-112,-58,-78,-43
-73,-63,9,68,-41,-26,-58,-87,-107,-63,-78,-53
-78,-73,4,75,-41,-34,-53,-63,-102,-63,-78,-58
-92,-73,19,82,-56,-26,-53,-43,-92,-53,-73,-58
-92,-73,19,82,-56,-26,-48,-43,-73,-48,-78,-63
-82,-82,0,82,-41,-41,-43,-34,-68,-53,-87,-73
-82,-78,4,80,-43,-36,-29,-34,-68,-58,-92,-78
-87,-78,9,82,-48,-34,-24,-24,-68,-58,-107,-82
-102,-87,14,95,-58,-36,-24,-24,-68,-63,-112,-87
-107,-102,4,104,-56,-48,-19,-19,-73,-63,-112,-92
-102,-102,0,102,-51,-51,-19,0,-73,-73,-117,-97
-97,-97,0,97,-48,-48,-24,0,-73,-73,-117,-97
-97,-97,0,97,-48,-48,-29,4,-68,-73,-122,-102
-92,-92,0,92,-46,-46,-34,4,-68,-73,-122,-102
-87,-73,14,80,-51,-29,-29,-9,-78,-73,-126,-102
-82,-73,9,78,-46,-31,-24,-9,-78,-82,-126,-102
-82,-78,4,80,-43,-36,-19,-4,-78,-82,-126,-107
-82,-82,0,82,-41,-41,-14,0,-78,-82,-126,-107
-82,-73,9,78,-46,-31,-19,0,-68,-78,-131,-112
-87,-73,14,80,-51,-29,-24,4,-58,-73,-131,-112
-87,-68,19,78,-53,-24,-29,4,-58,-73,-131,-112
-87,-68,19,78,-53,-24,-34,4,-63,-78,-131,-117
-97,-78,19,87,-58,-29,-29,0,-63,-78,-126,-107
-97,-78,19,87,-58,-29,-29,0,-63,-78,-126,-107
-97,-78,19,87,-58,-29,-19,4,-58,-73,-122,-102
-92,-78,14,85,-53,-31,-19,4,-58,-73,-122,-102
-92,-87,4,90,-48,-41,-9,4,-58,-73,-122,-107
-92,-87,4,90,-48,-41,-9,9,-58,-73,-122,-107
-92,-87,4,90,-48,-41,-9,9,-53,-73,-117,-102
-92,-87,4,90,-48,-41,-4,9,-53,-73,-117,-102
-102,-78,24,90,-63,-26,-4,9,-48,-73,-117,-102
-102,-78,24,90,-63,-26,-9,9,-48,-73,-117,-102
-102,-78,24,90,-63,-26,-9,14,-48,-73,-117,-102
-107,-78,29,92,-68,-24,-4,14,-48,-73,-117,-102
-107,-87,19,97,-63,-34,4,19,-48,-58,-107,-102
-107,-97,9,102,-58,-43,4,19,-43,-58,-107,-102
-107,-97,9,102,-58,-43,4,24,-43,-53,-107,-102
-102,-92,9,97,-56,-41,4,24,-43,-53,-107,-102
-97,-87,9,92,-53,-39,9,39,-34,-53,-97,-92
-92,-87,4,90,-48,-41,9,39,-34,-53,-97,-92
-92,-92,0,92,-46,-46,9,39,-34,-53,-97,-92
-87,-92,-4,90,-41,-48,9,39,-34,-48,-97,-92
-97,-78,19,87,-58,-29,0,34,-29,-58,-107,-92
-97,-78,19,87,-58,-29,4,34,-34,-58,-107,-92
-97,-78,19,87,-58,-29,4,34,-39,-58,-102,-92
-97,-68,29,82,-63,-19,4,34,-39,-58,-102,-92
-87,-73,14,80,-51,-29,4,24,-39,-58,-107,-102
-87,-73,14,80,-51,-29,4,34,-34,-48,-102,-97
-82,-82,0,82,-41,-41,9,34,-34,-43,-102,-97
-82,-82,0,82,-41,-41,9,34,-34,-43,-102,-97
-78,-82,-4,80,-36,-43,14,48,-29,-48,-92,-97
-78,-87,-9,82,-34,-48,14,48,-29,-48,-92,-97
-78,-87,-9,82,-34,-48,19,48,-24,-43,-87,-92
-78,-78,0,78,-39,-39,19,48,-24,-39,-87,-92
-87,-68,19,78,-53,-24,9,48,-29,-48,-97,-97
-87,-68,19,78,-53,-24,9,48,-29,-48,-102,-97
-82,-68,14,75,-48,-26,9,48,-29,-48,-102,-97
-82,-68,14,75,-48,-26,9,53,-24,-48,-97,-97
-82,-73,9,78,-46,-31,14,58,-14,-39,-87,-97
-82,-73,9,78,-46,-31,14,63,-9,-39,-87,-97
-82,-73,9,78,-46,-31,14,63,-9,-34,-92,-92
-82,-73,9,78,-46,-31,14,63,-9,-29,-92,-92
-82,-73,9,78,-46,-31,24,63,0,-19,-82,-82
-82,-68,14,75,-48,-26,24,68,0,-19,-73,-82
-82,-68,14,75,-48,-26,29,78,9,-9,-68,-82
-82,-63,19,73,-51,-21,29,78,14,-9,-68,-78
-82,-73,9,78,-46,-31,39,78,14,-19,-73,-78
-87,-78,9,82,-48,-34,43,78,19,-14,-73,-73
-87,-78,9,82,-48,-34,48,87,24,-4,-68,-68
-87,-78,9,82,-48,-34,48,92,29,0,-58,-68
-92,-68,24,80,-58,-21,39,97,29,0,-68,-73
-92,-68,24,80,-58,-21,39,97,34,4,-68,-73
-92,-68,24,80,-58,-21,43,102,39,4,-68,-73
-87,-68,19,78,-53,-24,43,107,43,9,-63,-73
-97,-78,19,87,-58,-29,48,107,48,19,-53,-63
-97,-63,34,80,-65,-14,48,107,48,19,-53,-63
-97,-58,39,78,-68,-9,48,112,53,24,-48,-63
-97,-58,39,78,-68,-9,53,117,58,29,-48,-53
-102,-58,43,80,-73,-7,53,122,63,34,-39,-53
-102,-58,43,80,-73,-7,58,126,68,39,-39,-48
-97,-58,39,78,-68,-9,63,131,73,43,-39,-48
-97,-53,43,75,-70,-4,63,136,78,48,-34,-48
-97,-43,53,70,-75,4,73,141,82,43,-24,-43
-87,-39,48,63,-68,4,73,146,87,48,-19,-43
-87,-39,48,63,-68,4,73,151,92,53,-19,-43
-87,-39,48,63,-68,4,73,151,97,58,-19,-43
-82,-43,39,63,-61,-2,78,161,112,73,-14,-34
-78,-43,34,61,-56,-4,78,161,122,73,-4,-34
-73,-39,34,56,-53,-2,78,165,131,78,-14,-34
-68,-39,29,53,-48,-4,78,175,136,82,-14,-29
-68,-43,24,56,-46,-9,73,185,136,87,0,-29
-68,-39,29,53,-48,-4,78,190,146,92,4,-29
-63,-43,19,53,-41,-12,78,195,146,97,4,-24
-58,-39,19,48,-39,-9,78,200,151,102,4,-24
-63,-39,24,51,-43,-7,87,204,175,112,24,-24
-58,-39,19,48,-39,-9,92,219,190,126,29,-19
-63,-34,29,48,-46,-2,97,229,195,131,34,-14
-73,-34,39,53,-56,2,97,239,204,141,39,-4
-63,-34,29,48,-46,-2,92,234,209,136,34,-14
-53,-29,24,41,-39,-2,92,244,214,141,39,-14
-53,-24,29,39,-41,2,92,253,219,151,43,-14
-53,-24,29,39,-41,2,97,263,224,161,48,-9
-63,-19,43,41,-53,12,107,273,248,175,58,0
-53,-14,39,34,-46,12,112,283,263,185,63,0
-53,-9,43,31,-48,17,112,292,268,185,73,4
-58,-9,48,34,-53,19,112,302,283,200,78,9
-58,0,58,29,-58,29,117,317,287,204,82,14
-48,4,53,21,-51,29,122,326,297,214,87,14
-39,9,48,14,-43,29,122,336,312,224,92,14
-39,9,48,14,-43,29,122,351,326,234,102,24
-39,9,48,14,-43,29,131,366,346,253,112,34
-34,19,53,7,-43,36,136,375,356,268,117,39
-34,24,58,4,-46,41,136,385,375,278,126,43
-29,24,53,2,-41,39,146,395,390,287,131,48
-19,34,53,-7,-36,43,146,405,395,287,131,43
-14,34,48,-9,-31,41,146,409,409,297,136,43
-9,34,43,-12,-26,39,146,424,419,307,141,48
-9,39,48,-14,-29,43,151,434,434,322,151,53
0,48,48,-24,-24,48,146,434,439,326,151,48
0,53,53,-26,-26,53,141,448,458,341,161,53
4,53,48,-29,-21,51,146,458,468,351,175,63
14,63,48,-39,-17,56,141,473,483,366,185,78
19,78,58,-48,-19,68,151,488,512,375,200,82
24,78,53,-51,-14,65,151,488,522,380,209,82
24,82,58,-53,-17,70,151,497,536,385,209,87
34,87,53,-61,-9,70,151,507,551,400,214,92
34,92,58,-63,-12,75,156,517,556,429,239,112
39,97,58,-68,-9,78,161,527,561,434,244,112
39,102,63,-70,-12,82,165,531,575,439,253,112
48,107,58,-78,-4,82,165,536,580,448,258,112
58,117,58,-87,0,87,161,527,580,444,248,117
58,117,58,-87,0,87,156,531,590,453,253,122
63,117,53,-90,4,85,151,541,595,458,258,126
68,122,53,-95,7,87,146,541,605,463,263,131
82,126,43,-104,19,85,136,531,605,468,258,126
87,136,48,-112,19,92,136,531,605,473,268,131
97,141,43,-119,26,92,131,527,600,478,268,136
102,141,39,-122,31,90,131,522,600,478,273,136
107,136,29,-122,39,82,141,531,610,478,283,151
107,136,29,-122,39,82,131,527,610,478,278,151
102,136,34,-119,34,85,131,512,600,468,273,146
97,131,34,-114,31,82,122,502,595,468,273,146
92,136,43,-114,24,90,117,483,580,468,273,141
92,131,39,-112,26,85,112,468,570,468,273,141
92,131,39,-112,26,85,102,453,551,453,273,151
