I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
29,78,48,-53,-9,63,-82,-131,-117,-102,-48,-19
24,73,48,-48,-12,61,-63,-126,-117,-102,-48,-24
4,68,63,-36,-29,65,-63,-126,-107,-107,-53,-14
0,63,63,-31,-31,63,-58,-122,-107,-107,-53,-29
0,58,58,-29,-29,58,-48,-112,-107,-107,-53,-29
-9,53,63,-21,-36,58,-48,-112,-107,-107,-58,-29
-29,24,53,2,-41,39,-34,-112,-107,-112,-63,-39
-29,14,43,7,-36,29,-34,-117,-112,-122,-73,-48
-29,9,39,9,-34,24,-34,-117,-126,-136,-82,-63
-29,0,29,14,-29,14,-34,-117,-126,-136,-87,-73
-39,0,39,19,-39,19,-34,-112,-126,-141,-92,-78
-53,-4,48,29,-51,21,-29,-107,-126,-141,-97,-92
-58,-4,53,31,-56,24,-24,-97,-122,-131,-97,-92
-63,-19,43,41,-53,12,-19,-92,-122,-141,-102,-97
-63,-14,48,39,-56,17,0,-87,-122,-126,-102,-92
-87,-48,39,68,-63,-4,19,-78,-117,-131,-117,-107
-97,-48,48,73,-73,0,39,-63,-117,-151,-146,-136
-97,-29,68,63,-82,19,58,-29,-97,-161,-165,-161
-112,-19,92,65,-102,36,97,34,-58,-151,-180,-180
-141,-19,122,80,-131,51,131,87,-19,-146,-195,-195
-146,14,161,65,-153,87,146,117,4,-126,-195,-204
-117,48,165,34,-141,107,156,136,48,-82,-161,-175
-97,58,156,19,-126,107,156,175,112,-4,-78,-117
-78,58,136,9,-107,97,146,219,170,78,4,-43
-29,58,87,-14,-58,73,122,239,214,146,87,19
58,58,0,-58,29,29,73,229,234,219,204,122
165,68,-97,-117,131,-14,14,214,273,317,351,263
283,131,-151,-207,217,-9,-63,170,307,424,531,439
400,209,-190,-305,295,9,-170,107,346,566,746,649
531,273,-258,-402,395,7,-268,39,385,717,976,868
678,326,-351,-502,514,-12,-370,-34,390,849,1166,1054
814,380,-434,-597,624,-26,-473,-131,390,951,1351,1224
936,444,-492,-690,714,-24,-566,-239,390,1078,1546,1395
